,date,euro_to_usd,japanese_yen_to_usd,uk_pound_to_usd,australian_dollar_to_usd,swiss_franc_to_usd
2391,2013-02-01,1.3644,0.010848340203948795,1.5832,1.039,1.1053387863380126
2392,2013-02-04,1.3552,0.010790978741771878,1.5724,1.0428,1.0969723562966214
2393,2013-02-05,1.3537,0.010836584308625921,1.5748,1.04,1.1008366358432409
2394,2013-02-06,1.3517,0.010660980810234541,1.5659999999999998,1.0353,1.0946907498631637
2395,2013-02-07,1.3546,0.010708931248661385,1.5715,1.0318,1.100957833314984
2396,2013-02-08,1.3374,0.01067463706233988,1.5745999999999998,1.0287,1.0911074740861975
2397,2013-02-11,1.3391,0.01064235831896835,1.5687,1.0301,1.0890873448050533
2398,2013-02-12,1.3438,0.010610079575596816,1.5612,1.0251,1.0902747492368077
2399,2013-02-13,1.348,0.010714668381013608,1.5571,1.0359,1.090037061260083
2400,2013-02-14,1.3327,0.010697475395806589,1.551,1.0352,1.0841283607979184
2401,2013-02-15,1.3325,0.010810810810810811,1.5492000000000001,1.0366,1.0829542993285683
2402,2013-02-19,1.3349,0.010660980810234541,1.5466999999999997,1.033,1.0818998160770312
2403,2013-02-20,1.337,0.010670081092616303,1.53,1.036,1.0843634786380394
2404,2013-02-21,1.3186,0.010699764605178687,1.5253,1.0241,1.073191672032625
2405,2013-02-22,1.3186,0.010718113612004287,1.5256,1.0314,1.0736525660296328
2406,2013-02-25,1.3304,0.010610079575596816,1.5126,1.0282,1.0802635843145727
2407,2013-02-26,1.3077,0.010810810810810811,1.5142,1.0275,1.075037626316921
2408,2013-02-27,1.3097,0.010877841836179701,1.5126,1.0214,1.074922068150059
2409,2013-02-28,1.3129,0.010813148788927335,1.5192,1.0275,1.0743446497636442
2410,2013-03-01,1.3,0.010799136069114472,1.5018,1.0232,1.06315118009781
2411,2013-03-04,1.3007,0.010683760683760684,1.5048,1.0124,1.0612331529236974
2412,2013-03-05,1.3034,0.010712372790573113,1.5157,1.0241,1.0615711252653928
2413,2013-03-06,1.3035,0.01073191672032625,1.5091,1.0246,1.0588801971912094
2414,2013-03-07,1.301,0.010626992561105207,1.4986,1.0251,1.0561892691170258
2415,2013-03-08,1.309,0.010532968190436065,1.5039,1.0241,1.0605578534309048
2416,2013-03-11,1.2994,0.01040582726326743,1.4873,1.0221,1.0520778537611783
2417,2013-03-12,1.3053,0.010362694300518135,1.4881,1.0282,1.0550749103186325
